	animal_1	animal_2	animal_3	animal_4	animal_5	animal_6	animal_7	animal_8	animal_9	animal_10	animal_11	animal_12	animal_13	animal_14	animal_15	animal_16	animal_17	animal_18	animal_19	animal_20	animal_21	animal_22	animal_23	animal_24	animal_25	animal_26	animal_27	animal_28	animal_29	animal_30	animal_31	animal_32
2017-07-01 00:00:00	1	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	4	0
2017-07-01 00:01:00	1	0	0	0	0	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	3	0
2017-07-01 00:02:00	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	1	0
2017-07-01 00:03:00	3	0	0	0	0	3	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0
2017-07-01 00:04:00	2	0	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	1	0
2017-07-01 00:05:00	1	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0
2017-07-01 00:06:00	1	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	2	0	0	0	0	2	2	21	0	0	0	4	0	0
2017-07-01 00:07:00	2	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	1	0	0
2017-07-01 00:08:00	1	0	0	0	0	0	0	3	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	1	0
2017-07-01 00:09:00	2	0	0	0	0	0	0	0	4	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0
2017-07-01 00:10:00	2	0	0	0	0	0	0	0	10	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0
2017-07-01 00:11:00	2	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	1	0	2	0	1	2	0	0	0	2	0
2017-07-01 00:12:00	2	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
2017-07-01 00:13:00	2	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	1	0	1	0
2017-07-01 00:14:00	1	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0
2017-07-01 00:15:00	2	0	0	0	0	0	0	0	3	0	0	2	0	0	3	0	0	0	0	0	0	3	0	3	0	0	1	0	0	0	0	0
2017-07-01 00:16:00	1	0	0	1	0	0	0	0	2	0	0	4	0	0	2	0	0	0	1	0	0	0	0	1	0	3	1	0	1	0	0	0
2017-07-01 00:17:00	1	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	18	0	0	0	0	2	0	0	1	0	2	0	3	0
2017-07-01 00:18:00	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0
2017-07-01 00:19:00	2	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0
2017-07-01 00:20:00	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
2017-07-01 00:21:00	8	0	0	0	0	4	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0
2017-07-01 00:22:00	1	0	0	0	0	4	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
